uid,src_ip,dst_ip,predicted_label,actual_label,ts,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type
b_C9j1Li3AIJriUqkk95,192.168.100.49,192.168.100.218,1,0,2023-07-05 09:13:53.090558976,http,0.461111,11.0,10.0,4.0,4.0,23.855424,21.686749,45.542173,0.909091,360.0,32.0,40.0,328.0,32.0,40.0,2.0,2.0,0.0,4.0,4.0,20.0,17314.700387,64896.0,64320.0,502.0,502.0,client->server,0,benign
b_CaAvr11P7Vl9riuPsc,192.168.100.49,142.251.209.138,1,0,2023-07-08 14:11:12.812645888,http,1.406731,7.0,6.0,1.0,2.0,4.976075,4.265207,9.241283,0.857143,232.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,1.0,2.0,12.0,700.915747,64896.0,65535.0,503.0,261.0,client->internet,0,benign
b_CbBnRz4mlSytz5vZe,192.168.100.99,185.125.188.59,1,0,2023-09-04 13:56:08.542653184,ssl,5.534582,11.0,11.0,4.0,7.0,1.987503,1.987503,3.975007,1.0,360.0,32.0,40.0,348.0,20.0,40.0,2.0,2.0,1.0,4.0,7.0,20.0,1176.96334,64896.0,62230.0,502.0,0.0,client->internet,0,benign
CCHkgG1Znahc0cXde4,192.168.100.218,192.168.100.49,1,0,2023-09-06 16:02:44.293561088,,0.000346,1.0,1.0,0.0,0.0,2890.62991,2890.62991,5781.259821,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,server->client,0,benign
C8Qzokf7aD2YpPB96,192.168.100.218,192.168.100.49,1,0,2023-09-09 21:16:24.195430144,,0.00024,1.0,1.0,0.0,0.0,4169.28827,4169.28827,8338.576541,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,server->client,0,benign
b_C327Mt3zl7SiFYt88b,192.168.100.104,192.168.100.218,1,0,2023-07-05 16:56:36.956992000,http,0.038008,10.0,10.0,3.0,7.0,263.10268,263.10268,526.205361,1.0,340.0,32.0,44.0,328.0,32.0,40.0,2.0,2.0,0.0,3.0,7.0,19.0,532730.307257,64896.0,64320.0,502.0,502.0,client->server,0,benign
b_CZOqha4UM8SQVq8mX3,192.168.100.31,23.206.22.237,1,0,2023-07-21 08:19:29.723875072,ssl,11.932726,10.0,12.0,2.0,7.0,0.838031,1.005638,1.843669,1.2,328.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,2.0,7.0,21.0,630.702495,64896.0,65160.0,502.0,506.0,client->internet,0,benign
b_CIfGt0148i1dDmP3r3,192.168.100.31,151.101.65.164,1,0,2023-07-21 04:18:46.510808832,ssl,0.072578,7.0,6.0,1.0,2.0,96.448021,82.669733,179.117754,0.857143,232.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,1.0,2.0,12.0,64248.160571,64896.0,65535.0,502.0,285.0,client->internet,0,benign
b_C3IiEW2yorbIw6xTDi,192.168.100.104,192.168.100.218,1,0,2023-07-21 20:00:36.394920192,ssl,0.064556,8.0,7.0,3.0,3.0,123.923639,108.433184,232.356823,0.875,264.0,32.0,40.0,232.0,32.0,40.0,2.0,2.0,0.0,3.0,3.0,14.0,31894.846625,64896.0,64320.0,502.0,502.0,client->server,0,benign
CJJqTw21XGE66FK91b,192.168.100.218,192.168.100.104,1,0,2023-09-07 09:58:04.044434176,,0.000415,1.0,1.0,0.0,0.0,2410.51954,2410.51954,4821.03908,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,server->client,0,benign
