uid,src_ip,dst_ip,predicted_label,actual_label,ts,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type
a_CFeGuY3AQWZjxxfdY8,192.168.100.31,192.168.100.218,0,1,2023-07-16 05:21:35.993975040,http,0.000761,6.0,6.0,2.0,1.0,7884.030075,7884.030075,15768.06015,1.0,200.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,2.0,1.0,11.0,1438835.488722,64896.0,64320.0,505.0,502.0,client->server,1,dos
a_CtP7xpNEYWwIaN4Xd,192.168.100.99,192.168.100.218,0,1,2023-07-11 14:12:48.288307968,ssl,0.003467,8.0,8.0,3.0,5.0,2307.415211,2307.415211,4614.830422,1.0,264.0,32.0,40.0,264.0,32.0,40.0,1.0,2.0,1.0,3.0,5.0,15.0,1001706.628524,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_CDUxCz3reuHwgV9gOg,192.168.100.31,192.168.100.218,0,1,2023-08-14 13:46:31.568445952,ssl,0.004542,8.0,7.0,3.0,5.0,1761.29505,1541.133169,3302.428219,0.875,264.0,32.0,40.0,232.0,32.0,40.0,0.0,2.0,1.0,3.0,5.0,14.0,789280.344339,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_Ckq38a4ClpSIBr2G82,192.168.100.104,192.168.100.218,0,1,2023-07-15 11:13:38.738397952,http,0.000772,6.0,6.0,2.0,1.0,7772.027177,7772.027177,15544.054355,1.0,200.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,2.0,1.0,11.0,1387306.851143,64896.0,64320.0,505.0,502.0,client->server,1,dos
a_CrtRA1Y5YfN4nAxyl,192.168.100.49,192.168.100.218,0,1,2023-07-10 05:23:12.098155008,http,0.00228,6.0,6.0,2.0,1.0,2631.582558,2631.582558,5263.165116,1.0,200.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,2.0,1.0,11.0,467544.501098,64896.0,64320.0,505.0,502.0,client->server,1,dos
a_CL6Uiy11aKnLFhIQq7,192.168.100.49,192.168.100.218,0,1,2023-08-11 15:15:26.005649152,http,0.000918,5.0,5.0,1.0,1.0,5447.148052,5447.148052,10894.296104,1.0,168.0,32.0,40.0,168.0,32.0,40.0,2.0,2.0,0.0,1.0,1.0,9.0,856291.673766,64896.0,64320.0,505.0,502.0,client->server,1,dos
a_C8sDTp16w3C8OMpZ7i,192.168.100.49,192.168.100.218,0,1,2023-07-10 18:40:21.450846976,ssl,0.007859,8.0,7.0,3.0,5.0,1017.942299,890.699512,1908.641811,0.875,264.0,32.0,40.0,232.0,32.0,40.0,0.0,2.0,1.0,3.0,5.0,14.0,446622.18366,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_Cht3kRG8kN0zjgoPi,192.168.100.49,192.168.100.218,0,1,2023-08-11 19:20:10.561635072,http,0.000838,6.0,6.0,2.0,1.0,7159.551636,7159.551636,14319.103272,1.0,200.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,2.0,1.0,11.0,1698006.996302,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_CGu5qF1g6PCjc6GXg,192.168.100.31,192.168.100.218,0,1,2023-08-15 09:08:54.357888000,http,0.000783,5.0,5.0,1.0,1.0,6385.968331,6385.968331,12771.936663,1.0,168.0,32.0,40.0,168.0,32.0,40.0,2.0,2.0,0.0,1.0,1.0,9.0,1025586.514007,64896.0,64320.0,505.0,502.0,client->server,1,dos
a_CDZVvU1dhe4Vfjzcni,192.168.100.104,192.168.100.218,0,1,2023-08-13 23:50:55.737539072,ssl,0.004807,8.0,7.0,3.0,5.0,1664.241246,1456.21109,3120.452336,0.875,264.0,32.0,40.0,232.0,32.0,40.0,0.0,2.0,1.0,3.0,5.0,14.0,832952.743577,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_CbPaAG2RWgemQxQmEh,192.168.100.23,192.168.100.218,0,1,2023-07-09 09:42:18.042767104,http,0.000803,6.0,6.0,2.0,1.0,7472.038005,7472.038005,14944.07601,1.0,200.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,2.0,1.0,11.0,1310097.330166,64896.0,64320.0,505.0,502.0,client->server,1,dos
a_CLpHsNVgGJZMmsoMd,192.168.100.23,192.168.100.218,0,1,2023-07-09 19:27:46.712806912,ssl,0.009625,7.0,7.0,3.0,5.0,727.275898,727.275898,1454.551796,1.0,232.0,32.0,40.0,232.0,32.0,40.0,0.0,2.0,1.0,3.0,5.0,13.0,366547.052564,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_CkihHa4bxrJLcu2JCb,192.168.100.99,192.168.100.218,0,1,2023-08-13 09:54:37.831963904,ssl,0.007138,7.0,7.0,3.0,5.0,980.664952,980.664952,1961.329904,1.0,232.0,32.0,40.0,232.0,32.0,40.0,1.0,2.0,1.0,3.0,5.0,13.0,558558.7377,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_CYUOfy3T3pDOoSw3jh,192.168.100.115,192.168.100.218,0,1,2023-08-16 08:35:23.774682880,http,0.822417,39.0,38.0,7.0,33.0,47.421198,46.205269,93.626467,0.974359,1256.0,32.0,40.0,1224.0,32.0,40.0,2.0,2.0,0.0,7.0,33.0,76.0,167579.216522,64896.0,64320.0,1498.0,502.0,client->server,1,sql_injection
a_CUHRcJ3r5kEROE76Q9,192.168.100.115,192.168.100.218,0,1,2023-07-16 23:53:07.556636928,http,0.050771,6.0,4.0,1.0,1.0,118.177705,78.785136,196.962841,0.666667,200.0,32.0,40.0,136.0,32.0,40.0,2.0,2.0,0.0,1.0,1.0,9.0,14752.516781,64896.0,64320.0,506.0,502.0,client->server,1,sql_injection
a_CaMhSu2N8dxymkQnHd,192.168.100.31,192.168.100.218,0,1,2023-07-16 17:47:45.132657920,ssl,0.003989999,8.0,7.0,3.0,5.0,2005.045235,1754.41458,3759.459815,0.875,264.0,32.0,40.0,232.0,32.0,40.0,1.0,2.0,1.0,3.0,5.0,14.0,876956.659456,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_ChAl751i6Mb4SlCQG8,192.168.100.23,192.168.100.218,0,1,2023-08-10 14:10:06.752073984,ssl,0.00649,7.0,7.0,3.0,5.0,1078.58374,1078.58374,2157.167481,1.0,232.0,32.0,40.0,232.0,32.0,40.0,1.0,2.0,1.0,3.0,5.0,13.0,618182.566695,64896.0,64320.0,502.0,502.0,client->server,1,dos
a_CAhDc73oP2dH49YdBj,192.168.100.104,192.168.100.218,0,1,2023-07-15 01:58:51.034043136,http,0.002355,6.0,6.0,2.0,1.0,2547.921839,2547.921839,5095.843677,1.0,200.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,2.0,1.0,11.0,447584.936317,64896.0,64320.0,505.0,502.0,client->server,1,dos
a_CysYP03ExiUsgympUj,192.168.100.23,192.168.100.218,0,1,2023-07-09 14:28:20.633660160,ssl,0.011218,8.0,8.0,3.0,5.0,713.150241,713.150241,1426.300482,1.0,264.0,32.0,40.0,264.0,32.0,40.0,1.0,2.0,1.0,3.0,5.0,15.0,637288.884317,64896.0,64320.0,502.0,502.0,client->server,1,sql_injection
a_CXpHLo3Kgo5jDBJVY6,192.168.100.49,192.168.100.218,0,1,2023-08-11 17:07:25.367707904,http,0.000801,6.0,6.0,2.0,1.0,7489.828571,7489.828571,14979.657143,1.0,200.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,2.0,1.0,11.0,1349417.447619,64896.0,64320.0,505.0,502.0,client->server,1,dos
